Genbank accession	Biosample	Species	Run	BioProject
GCA_004024645.1	SAMN07678095	Mirza coquereli	SRS9004472	PRJNA399404
GCA_004024725.1	SAMN07678072	Cheirogaleus medius	SRS9005502	PRJNA399382
GCA_004027145.1	SAMN07678077	Daubentonia madagascariensi s	SRS9005860	PRJNA399387
GCA_004363605.1	SAMN07678091	Indri indri	SRS6382498	PRJNA399458
GCA_004027815.1	SAMN07678100	Nycticebus coucang	SRS6383713	PRJNA399409
GCA_004027715.1	SAMN07678140	Callicebus donacophilus	SRS6380527	PRJNA399376
GCA_004026645.1	SAMN07678106	Pithecia pithecia	SRS6383727	PRJNA399413
GCA_004027255.1	SAMN07678019	Galeopterus variegatus	SRS3678514	PRJNA399345
GCA_004365275.1	SAMN07678117	Tupaia tana	SRS6386396	PRJNA399462
GCA_004027955.1	SAMN07678071	Chaetophractus vellerosus	SRS3678508	PRJNA399381
GCA_004025125.1	SAMN07678115	Tolypeutes matacus	SRS3678537	PRJNA399423
GCA_004027775.1	SAMN07678054	Bradypus variegatus	SRS8589578	PRJNA399370
GCA_004027855.1	SAMN07678073	Choloepus didactylus	SRS3622116	PRJNA399383
GCA_004026745.1	SAMN07678098	Myrmecophaga tridactyla	SRS6383711	PRJNA399407
GCA_004025105.1	SAMN07678112	Tamandua tetradactyla	SRS3678535	PRJNA399420
GCA_004026845.1	SAMN07678088	Heterohyrax brucei	SRS3622122	PRJNA399398
GCA_004026925.1	SAMN07678107	Procavia capensis	SRS3678530	PRJNA399414
GCA_004027935.1	SAMN07678135	Chrysochloris asiatica	SRS6380602	PRJNA399474
GCA_004026705.1	SAMN07678058	Microgale talazaci	SRS3678521	PRJNA399450
GCA_004027355.1	SAMN07678142	Elephantulus edwardii	SRS6382158	PRJNA399475
GCA_004365145.1	SAMN07678101	Orycteropus afer	SRS6383710	PRJNA399461
GCA_004027315.2	SAMN07678078	Diceros bicornis	SRS6382141	PRJNA399388
GCA_004024965.2	SAMN07678116	Tragulus javanicus	SRS3678539	PRJNA399456
GCA_004024745.2	SAMN07678067	Catagonus wagneri	SRS9003140	PRJNA399378
GCA_004027515.2	SAMN07678063	Antilocapra americana	SRS6379296	PRJNA399373
GCA_004027255.2	SAMN07678019	Galeopterus variegatus	SRS3678514	PRJNA399345
GCA_004026925.2	SAMN07678107	Procavia capensis	SRS3678530	PRJNA399414
GCA_004027065.2	SAMN07678089	Hippopotamus amphibius	SRS9006326	PRJNA399399
GCA_004024705.2	SAMN07678096	Moschus moschiferus	SRS9005501	PRJNA399405
