Latin name,Species3,Family3,Order3,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status
Centropus_unirufus,Centropus unirufus,Cuculidae,Cuculiformes,4,1,2,1,4,37.3,24.2,9.2,15.1,41.8,167.5,22.4,145.1,13.6,206.3,183.76,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Terrestrial,12.52,18.65,15.82,121.5685511,80442.96,Extant
Prunella_himalayana,Prunella himalayana,Prunellidae,Passeriformes,4,2,2,0,4,13.4,8.0,4.3,4.3,21.4,90.6,27.4,63.2,30.2,59.8,25.7,Dunning,,NO,,,Grassland,3.0,2.0,Omnivore,Invertivore,Terrestrial,32.72,54.28,45.73,86.97015349,1586851.28,Extant
Psophia_crepitans,Psophia crepitans,Psophiidae,Gruiformes,10,2,4,4,7,39.7,19.3,7.6,12.6,128.9,278.3,20.8,255.8,7.5,118.8,1026.0,Dunning,,NO,,,Forest,1.0,1.0,Herbivore,Frugivore,Terrestrial,-5.05,10.24,1.28,-63.53925729,2764896.44,Extant
Motacilla_alba,Motacilla alba,Motacillidae,Passeriformes,27,11,16,0,10,16.1,9.7,3.4,3.5,23.4,87.0,27.4,59.7,31.4,86.8,23.93,Dunning,,NO,,,Human Modified,3.0,3.0,Carnivore,Invertivore,Terrestrial,22.95,76.0,52.86,81.66910285,39488711.64,Extant
Aramus_guarauna,Aramus guarauna,Aramidae,Gruiformes,8,2,3,3,3,130.4,84.9,8.8,13.4,84.6,241.2,24.4,196.6,11.1,225.8,1080.0,Dunning,,NO,,,Wetland,3.0,1.0,Carnivore,Aquatic predator,Terrestrial,-39.32,31.24,-10.49,-58.48455114,12182050.36,Extant
Odontophorus_gujanensis,Odontophorus gujanensis,Odontophoridae,Galliformes,7,2,5,0,6,19.7,11.2,7.9,11.5,37.2,143.4,18.8,122.8,13.3,71.3,314.06,Dunning,,NO,,,Forest,1.0,1.0,Herbivore,Omnivore,Terrestrial,-20.2,10.72,-4.45,-63.16904516,7536115.55,Extant
Columbina_picui,Columbina picui,Columbidae,Columbiformes,10,4,5,1,3,15.0,8.8,3.2,4.2,13.5,87.9,17.8,70.5,20.1,72.2,47.0,Dunning,,NO,,,Human Modified,3.0,3.0,Herbivore,Granivore,Terrestrial,-43.46,-2.73,-23.34,-58.64470063,5736046.33,Extant
Eurystomus_gularis,Eurystomus gularis,Coraciidae,Coraciiformes,5,2,2,1,4,25.3,15.2,11.3,12.3,17.8,148.6,61.8,84.5,42.4,90.6,96.29,Dunning,,NO,,,Forest,2.0,1.0,Carnivore,Invertivore,Aerial,-9.39,10.19,1.89,13.6944738,2827968.86,Extant
Eudromia_elegans,Eudromia elegans,Tinamidae,Tinamiformes,6,3,2,1,5,29.1,13.8,7.4,7.4,44.0,215.3,74.0,141.8,34.3,85.8,702.9,Dunning,,NO,,,Shrubland,2.0,1.0,Herbivore,Omnivore,Terrestrial,-50.16,-19.72,-37.3,-65.9168242,1493624.4,Extant
Formicarius_rufipectus,Formicarius rufipectus,Formicariidae,Passeriformes,5,0,4,1,4,26.8,13.5,5.7,6.6,36.5,92.0,11.8,80.3,12.7,55.4,74.4,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Terrestrial,-13.75,10.49,-3.76,-76.29702443,206331.95,Extant
Sitta_europaea,Sitta europaea,Sittidae,Passeriformes,23,10,11,2,7,20.8,13.2,4.4,4.4,19.9,85.3,20.1,65.1,23.6,47.1,20.37,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,21.9,69.01,53.75,86.96531826,22902160.09,Extant
Phainopepla_nitens,Phainopepla nitens,Bombycillidae,Passeriformes,112,47,64,1,4,13.4,8.1,5.0,4.1,20.9,92.6,16.6,81.9,16.9,92.7,22.1,Dunning,,NO,,,Shrubland,2.0,1.0,Omnivore,Frugivore,Insessorial,19.91,40.52,29.77,-109.7741979,1250356.67,Extant
Donacobius_atricapilla,Donacobius atricapilla,Mimidae,Passeriformes,7,3,3,1,4,26.1,14.9,4.6,5.3,31.7,81.1,7.7,72.5,9.6,98.5,36.8,Dunning,,NO,,,Wetland,3.0,1.0,Carnivore,Invertivore,Insessorial,-28.73,12.46,-5.58,-60.43440744,8620634.56,Extant
Brachypteracias_leptosomus,Brachypteracias leptosomus,Brachypteraciidae,Coraciiformes,5,2,2,1,4,41.8,27.0,13.2,14.8,33.7,137.6,27.0,109.5,19.8,127.4,185.0,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,-25.03,-13.12,-17.88,48.72010715,39070.42,Extant
Bucorvus_abyssinicus,Bucorvus abyssinicus,Bucorvidae,Bucerotiformes,4,2,2,0,4,256.5,189.8,31.4,56.3,145.6,556.0,114.1,441.9,20.6,337.8,4000.0,Dunning,,NO,,,Grassland,3.0,1.0,Carnivore,Omnivore,Terrestrial,0.1,16.58,9.51,13.93180803,4482170.58,Extant
Aleadryas_rufinucha,Aleadryas rufinucha,Pachycephalidae,Passeriformes,5,2,3,0,4,20.3,11.2,4.9,7.3,30.2,84.8,12.2,70.8,14.7,70.2,40.5,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,-10.11,-0.49,-5.12,141.6053123,150684.68,Extant
Hemiprocne_comata,Hemiprocne comata,Hemiprocnidae,Apodiformes,8,5,3,0,4,5.7,3.1,2.8,2.0,6.2,128.8,68.8,53.6,56.2,75.0,20.63,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,-5.95,18.65,2.8,110.3610952,1482225.39,Extant
Herpetotheres_cachinnans,Herpetotheres cachinnans,Falconidae,Falconiformes,9,3,6,0,8,33.2,18.3,12.6,20.7,58.9,272.4,51.0,217.8,18.9,219.0,623.58,Dunning,,NO,,,Forest,2.0,1.0,Carnivore,Vertivore,Insessorial,-29.26,28.93,-5.54,-60.89647148,13330796.59,Extant
Thinocorus_orbignyianus,Thinocorus orbignyianus,Thinocoridae,Charadriiformes,5,2,3,0,4,16.4,8.4,5.8,5.9,23.7,138.8,67.6,72.4,48.2,65.6,115.0,Dunning,,NO,,,Grassland,3.0,1.0,Herbivore,Herbivore terrestrial,Terrestrial,-55.79,-6.08,-29.6,-70.03525313,1570843.96,Extant
Grantiella_picta,Grantiella picta,Meliphagidae,Passeriformes,7,1,3,3,4,16.9,8.9,3.4,3.9,17.4,87.0,29.5,55.9,34.6,51.9,21.5,Dunning,,NO,,,Woodland,2.0,3.0,Herbivore,Omnivore,Insessorial,-38.45,-23.36,-33.42,147.0828808,374029.06,Extant
