Latin name,Species3,Family3,Order3,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status
Scopus_umbretta,Scopus umbretta,Scopidae,Pelecaniformes,8,5,3,0,4,84.5,62.8,13.4,22.2,65.6,293.2,108.0,191.0,36.1,154.1,472.0,Dunning,,NO,,,Wetland,3.0,2.0,Carnivore,Omnivore,Terrestrial,-34.84,20.89,-2.88,23.0360757,19881333.45,Extant
Sagittarius_serpentarius,Sagittarius serpentarius,Accipitridae,Accipitriformes,8,4,4,0,4,59.4,40.2,19.0,24.1,269.9,615.5,250.2,365.2,40.6,551.8,4017.0,Dunning,,NO,,,Grassland,3.0,2.0,Carnivore,Vertivore,Terrestrial,-34.84,17.86,-3.98,23.60981129,14023594.92,Extant
Melanocharis_versteri,Melanocharis versteri,Melanocharitidae,Passeriformes,5,2,3,0,4,12.4,6.0,3.6,4.0,21.9,64.0,9.8,55.0,15.1,72.2,14.67,Dunning,,NO,,,Forest,1.0,1.0,Omnivore,Frugivore,Insessorial,-10.17,-0.51,-5.04,141.3716215,148463.41,Extant
Galbula_dea,Galbula dea,Galbulidae,Piciformes,5,1,3,1,4,57.3,47.1,6.0,8.2,12.6,91.2,23.8,66.5,26.2,156.6,27.4,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,-15.04,8.51,-3.81,-61.90936961,5923896.48,Extant
Pomatorhinus_ruficollis,Pomatorhinus ruficollis,Timaliidae,Passeriformes,5,2,3,0,3,22.5,15.6,3.3,5.4,28.0,78.8,7.7,69.8,10.0,85.4,31.61,Dunning,,NO,,,Forest,2.0,1.0,Carnivore,Invertivore,Generalist,16.19,35.12,26.98,106.0218814,2706746.89,Extant
Zosterops_hypoxanthus,Zosterops hypoxanthus,Zosteropidae,Passeriformes,5,2,3,0,4,13.2,7.3,3.1,3.9,16.1,56.5,10.1,46.8,17.7,39.6,12.5,Dunning,,NO,,,Forest,2.0,1.0,Herbivore,Omnivore,Insessorial,-6.03,-1.96,-4.25,150.4679618,10062.12,Extant
Heliornis_fulica,Heliornis fulica,Heliornithidae,Gruiformes,8,3,5,0,4,32.4,16.3,4.4,6.9,21.6,141.5,51.3,90.4,36.2,81.8,132.0,Dunning,,NO,,,Wetland,2.0,1.0,Carnivore,Aquatic predator,Aquatic,-27.05,23.84,-4.37,-63.44119455,8812012.44,Extant
Bucco_capensis,Bucco capensis,Bucconidae,Piciformes,6,4,2,0,4,34.5,22.0,11.3,12.8,17.4,86.7,17.2,68.5,19.9,57.0,54.0,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,-13.87,8.27,-2.43,-63.49651513,5454915.04,Extant
Dendroica_kirtlandii,Dendroica kirtlandii,Parulidae,Passeriformes,4,2,2,0,3,13.3,7.9,3.8,3.9,20.5,70.0,14.3,55.7,20.5,59.5,13.94,Dunning,,NO,,,Forest,2.0,3.0,Carnivore,Invertivore,Insessorial,43.4,46.95,45.37,-87.60086837,37706.6,Extant
Thalassarche_chlororhynchos,Thalassarche chlororhynchos,Diomedeidae,Procellariiformes,4,1,3,0,4,113.0,83.8,19.1,30.4,71.0,465.0,313.8,151.2,67.5,186.0,2128.84,Dunning,,NO,,,Marine,3.0,2.0,Carnivore,Aquatic predator,Aquatic,-51.51,-3.66,-34.74,-13.84759587,21606227.43,Extant
