Latin name	Species3	Family3	Order3	Total.individuals	Female	Male	Unknown	Complete.measures	Beak.Length_Culmen	Beak.Length_Nares	Beak.Width	Beak.Depth	Tarsus.Length	Wing.Length	Kipps.Distance	Secondary1	Hand-Wing.Index	Tail.Length	Mass	Mass.Source	Mass.Refs.Other	Inference	Traits.inferred	Reference.species	Habitat	Habitat.Density	Migration	Trophic.Level	Trophic.Niche	Primary.Lifestyle	Min.Latitude	Max.Latitude	Centroid.Latitude	Centroid.Longitude	Range.Size	Species.Status	Sample	Labels
Dryoscopus_gambensis	Dryoscopus gambensis	Malaconotidae	Passeriformes	11	2	9	0	4	23.5	12.9	6.6	7.2	25.1	90.5	13.5	76.9	14.9	75.3	31.9	Dunning		NO			Woodland	2.0	1.0	Carnivore	Invertivore	Insessorial	-7.43	17.21	7.87	14.46510669	5608614.97	Extant	Dryoscopus_gambensis_GCA_013389985.1_msmc2.final	3.0
Platysteira_castanea	Platysteira castanea	Platysteiridae	Passeriformes	34	10	20	4	11	16.3	8.7	5.5	4.1	16.2	60.1	6.3	53.9	10.4	26.1	14.09	Dunning		NO			Forest	1.0	1.0	Carnivore	Invertivore	Insessorial	-10.97	9.84	-0.19	16.70198323	4100583.96	Extant	Dyaphorophyia_castanea_GCA_013397175.1_msmc2.final	3.0
Coracina_coerulescens	Coracina coerulescens	Campephagidae	Passeriformes	10	2	8	0	4	27.6	16.5	8.8	8.2	24.2	129.9	27.4	102.5	21.1	100.8	62.84	Dunning		NO			Forest	1.0	1.0	Carnivore	Invertivore	Insessorial	12.54	18.65	15.81	121.5119556	84363.69	Extant	Edolisoma_coerulescens_GCA_013397115.1_msmc2.final	1.0
Erpornis_zantholeuca	Erpornis zantholeuca	Timaliidae	Passeriformes	11	2	9	0	4	15.4	8.4	3.9	4.2	16.7	66.4	11.3	54.8	17.1	44.0	11.8	Dunning		NO			Forest	1.0	1.0	Omnivore	Invertivore	Insessorial	-4.19	29.88	17.04	104.8882377	3629429.65	Extant	Erpornis_zantholeuca_GCA_013400515.1_msmc2.final	7.0
Eubucco_bourcierii	Eubucco bourcierii	Ramphastidae	Piciformes	9	4	5	0	4	20.6	14.8	5.8	8.6	20.9	72.0	10.6	60.9	14.8	52.4	37.0	Dunning		NO			Forest	1.0	1.0	Herbivore	Frugivore	Insessorial	-5.24	10.49	3.22	-77.25524565	234502.7	Extant	Eubucco_bourcierii_GCA_013396675.1_msmc2.final	11.0
Eudromia_elegans	Eudromia elegans	Tinamidae	Tinamiformes	6	3	2	1	5	29.1	13.8	7.4	7.4	44.0	215.3	74.0	141.8	34.3	85.8	702.9	Dunning		NO			Shrubland	2.0	1.0	Herbivore	Omnivore	Terrestrial	-50.16	-19.72	-37.3	-65.9168242	1493624.4	Extant	Eudromia_elegans_GCA_013398775.1_msmc2.final	7.0
Eurystomus_gularis	Eurystomus gularis	Coraciidae	Coraciiformes	5	2	2	1	4	25.3	15.2	11.3	12.3	17.8	148.6	61.8	84.5	42.4	90.6	96.29	Dunning		NO			Forest	2.0	1.0	Carnivore	Invertivore	Aerial	-9.39	10.19	1.89	13.6944738	2827968.86	Extant	Eurystomus_gularis_GCA_013400335.1_msmc2.final	9.0
Formicarius_rufipectus	Formicarius rufipectus	Formicariidae	Passeriformes	5	0	4	1	4	26.8	13.5	5.7	6.6	36.5	92.0	11.8	80.3	12.7	55.4	74.4	Dunning		NO			Forest	1.0	1.0	Carnivore	Invertivore	Terrestrial	-13.75	10.49	-3.76	-76.29702443	206331.95	Extant	Formicarius_rufipectus_GCA_013399695.1_msmc2.final	7.0
Furnarius_figulus	Furnarius figulus	Furnariidae	Passeriformes	11	1	7	3	2	18.6	13.9	3.7	4.4	25.6	83.2	14.1	69.1	17.4	58.0	28.0	Dunning		NO			Forest	1.0	1.0	Carnivore	Invertivore	Terrestrial	-23.71	-1.13	-10.71	-44.01301575	1971356.28	Extant	Furnarius_figulus_GCA_013397465.1_msmc2.final	12.0
Galbula_dea	Galbula dea	Galbulidae	Piciformes	5	1	3	1	4	57.3	47.1	6.0	8.2	12.6	91.2	23.8	66.5	26.2	156.6	27.4	Dunning		NO			Forest	1.0	1.0	Carnivore	Invertivore	Insessorial	-15.04	8.51	-3.81	-61.90936961	5923896.48	Extant	Galbula_dea_GCA_013399015.1_msmc2.final	12.0
Geococcyx_californianus	Geococcyx californianus	Cuculidae	Cuculiformes	5	3	2	0	4	57.8	35.4	10.1	12.5	59.5	181.0	12.0	172.0	6.5	287.4	376.0	Dunning		NO			Shrubland	2.0	1.0	Carnivore	Invertivore	Terrestrial	18.36	40.65	30.77	-104.3620211	3008009.53	Extant	Geococcyx_californianus_GCA_013389885.1_msmc2.final	11.0
Glaucidium_brasilianum	Glaucidium brasilianum	Strigidae	Strigiformes	15	5	7	3	8	14.9	10.0	7.1	10.6	18.0	94.1	16.8	77.3	17.9	63.4	63.3	Updated_literature	BoW	NO			Shrubland	2.0	1.0	Carnivore	Invertivore	Insessorial	-34.98	33.43	-7.18	-61.15420895	14547708.74	Extant	Glaucidium_brasilianum_GCA_013399595.1_msmc2.final	4.0
Grallaria_varia	Grallaria varia	Formicariidae	Passeriformes	33	12	12	9	4	28.5	17.6	8.3	10.4	50.8	119.2	9.8	104.5	8.4	48.9	119.0	Dunning		NO			Forest	1.0	1.0	Carnivore	Invertivore	Terrestrial	-30.06	6.37	-8.82	-54.40133079	3247752.05	Extant	Grallaria_varia_GCA_013396735.1_msmc2.final	3.0
Grantiella_picta	Grantiella picta	Meliphagidae	Passeriformes	7	1	3	3	4	16.9	8.9	3.4	3.9	17.4	87.0	29.5	55.9	34.6	51.9	21.5	Dunning		NO			Woodland	2.0	3.0	Herbivore	Omnivore	Insessorial	-38.45	-23.36	-33.42	147.0828808	374029.06	Extant	Grantiella_picta_GCA_013397955.1_msmc2.final	1.0
Gymnorhina_tibicen	Gymnorhina tibicen	Cracticidae	Passeriformes	30	9	20	1	9	54.7	35.8	11.9	15.8	56.2	256.6	108.3	157.9	40.7	137.2	284.87	Dunning		NO			Woodland	2.0	1.0	Carnivore	Invertivore	Terrestrial	-43.55	-8.51	-26.45	135.3787949	6726971.95	Extant	Gymnorhina_tibicen_GCA_013399875.1_msmc2.final	9.0
Halcyon_senegalensis	Halcyon senegalensis	Alcedinidae	Coraciiformes	5	2	3	0	4	43.8	34.4	11.6	12.1	12.8	99.4	20.9	78.8	21.0	70.8	73.44	Dunning		NO			Woodland	2.0	1.0	Carnivore	Invertivore	Insessorial	-27.43	16.45	-0.14	19.75053465	14752529.26	Extant	Halcyon_senegalensis_GCA_013397595.1_msmc2.final	7.0
Heliornis_fulica	Heliornis fulica	Heliornithidae	Gruiformes	8	3	5	0	4	32.4	16.3	4.4	6.9	21.6	141.5	51.3	90.4	36.2	81.8	132.0	Dunning		NO			Wetland	2.0	1.0	Carnivore	Aquatic predator	Aquatic	-27.05	23.84	-4.37	-63.44119455	8812012.44	Extant	Heliornis_fulica_GCA_013399135.1_msmc2.final	5.0
Hemiprocne_comata	Hemiprocne comata	Hemiprocnidae	Apodiformes	8	5	3	0	4	5.7	3.1	2.8	2.0	6.2	128.8	68.8	53.6	56.2	75.0	20.63	Dunning		NO			Forest	1.0	1.0	Carnivore	Invertivore	Insessorial	-5.95	18.65	2.8	110.3610952	1482225.39	Extant	Hemiprocne_comata_GCA_013396855.1_msmc2.final	1.0
Herpetotheres_cachinnans	Herpetotheres cachinnans	Falconidae	Falconiformes	9	3	6	0	8	33.2	18.3	12.6	20.7	58.9	272.4	51.0	217.8	18.9	219.0	623.58	Dunning		NO			Forest	2.0	1.0	Carnivore	Vertivore	Insessorial	-29.26	28.93	-5.54	-60.89647148	13330796.59	Extant	Herpetotheres_cachinnans_GCA_013399355.1_msmc2.final	7.0
Himantopus_himantopus	Himantopus himantopus	Recurvirostridae	Charadriiformes	5	2	3	0	4	64.7	47.1	4.3	4.6	115.8	225.6	115.5	105.2	52.2	78.6	176.82	Dunning		NO			Wetland	3.0	2.0	Carnivore	Aquatic predator	Terrestrial	-34.84	59.08	21.1	29.83485348	30584240.92	Extant	Himantopus_himantopus_GCA_013400095.1_msmc2.final	9.0
Hippolais_icterina	Hippolais icterina	Sylviidae	Passeriformes	22	6	16	0	4	17.5	9.1	3.8	3.4	20.6	77.9	24.0	53.8	30.8	54.6	13.2	Dunning		NO			Woodland	1.0	3.0	Carnivore	Invertivore	Insessorial	35.77	68.41	54.61	35.37015285	6330920.54	Extant	Hippolais_icterina_GCA_013400075.1_msmc2.final	6.0
Hirundo_rustica	Hirundo rustica	Hirundinidae	Passeriformes	68	23	24	21	10	12.4	6.0	4.5	2.7	11.7	115.8	62.3	56.0	52.6	71.4	17.91	Dunning		NO			Human Modified	3.0	3.0	Carnivore	Invertivore	Aerial	-37.53	71.13	47.56	34.57046816	51701054.06	Extant	Hirundo_rustica_GCA_013399815.1_msmc2.final	1.0
Oceanodroma_tethys	Oceanodroma tethys	Hydrobatidae	Procellariiformes	5	2	3	0	4	13.3	8.3	2.0	3.5	21.8	129.8	78.5	53.8	59.4	58.8	22.6	Dunning		NO			Marine	3.0	3.0	Carnivore	Aquatic predator	Aerial	-27.88	29.03	-1.79	-91.58681488	11745531.83	Extant	Hydrobates_tethys_GCA_013397025.1_msmc2.final	10.0
Hylia_prasina	Hylia prasina	Sylviidae	Passeriformes	75	13	12	50	29	13.0	8.3	3.4	3.4	20.1	61.5	8.4	54.7	13.4	42.9	13.06	Dunning		NO			Forest	1.0	1.0	Carnivore	Invertivore	Insessorial	-12.55	13.31	1.83	13.3531642	4144582.44	Extant	Hylia_prasina_GCA_013397195.1_msmc2.final	3.0
